bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	1	0.60	3	2.0	0.1	31	0	36.3 (0.57)
0.5	2	0.60	3	3.5	0.1	54	1	36.8 (0.58)
0.5	3	0.60	3	5.5	0.0	85	0	37.5 (0.59)
0.5	4	0.60	3	7.5	0.3	117	4	37.3 (0.58)
0.5	5	0.60	3	9.5	0.2	148	2	37.3 (0.58)
0.5	6	0.60	3	9.5	0.2	148	2	37.3 (0.58)
0.5	8	0.60	3	13.5	0.2	210	2	37.2 (0.58)
0.5	10	0.60	3	15.5	0.2	242	2	37.3 (0.58)
0.5	12	0.60	3	17.5	0.2	273	2	37.3 (0.58)
0.5	14	0.60	3	20.0	0.3	312	4	37.2 (0.58)
0.5	16	0.60	3	22.5	0.3	351	4	37.2 (0.58)
0.5	20	0.60	3	30.0	0.4	468	6	37.2 (0.58)
0.5	24	0.60	3	31.5	0.5	492	8	37.3 (0.58)
0.5	30	0.60	3	31.5	0.5	492	8	37.3 (0.58)
0.5	40	0.60	3	31.5	0.6	492	9	37.4 (0.58)
1	1	0.72	3	3.0	0.1	23	0	76.9 (0.60)
1	2	0.72	3	3.5	0.1	27	0	85.0 (0.66)
1	3	0.72	3	5.5	0.1	42	1	87.6 (0.68)
1	4	0.72	3	8.0	0.2	62	1	87.5 (0.68)
1	5	0.72	3	10.5	0.2	82	1	87.5 (0.68)
1	6	0.72	3	13.0	0.3	101	2	88.2 (0.69)
1	8	0.72	3	17.0	0.3	132	2	88.8 (0.69)
1	10	0.72	3	19.0	0.4	148	2	88.7 (0.69)
1	12	0.72	3	21.0	0.5	164	3	89.1 (0.70)
1	14	0.72	3	26.0	0.5	203	3	89.4 (0.70)
1	16	0.72	3	28.5	0.6	222	5	89.4 (0.70)
1	20	0.72	3	36.5	0.7	285	5	89.7 (0.70)
1	24	0.72	3	44.0	0.9	343	6	89.7 (0.70)
1	30	0.72	3	55.0	1.1	429	8	89.7 (0.70)
1	40	0.72	3	62.5	1.9	488	14	89.9 (0.70)
2	1	0.74	3	4.0	0.0	15	0	163.0 (0.64)
2	2	0.74	3	4.0	0.1	15	0	170.5 (0.67)
2	3	0.74	3	5.5	0.1	21	0	175.3 (0.68)
2	4	0.74	3	7.5	0.1	29	0	176.8 (0.69)
2	5	0.74	3	9.5	0.2	37	0	178.4 (0.70)
2	6	0.74	3	11.5	0.2	44	0	180.1 (0.70)
2	8	0.74	3	15.5	0.2	60	0	180.8 (0.71)
2	10	0.74	3	17.5	0.3	68	1	182.0 (0.71)
2	12	0.74	3	21.0	0.4	82	1	182.7 (0.71)
2	14	0.74	3	23.5	0.3	91	1	182.4 (0.71)
2	16	0.74	3	28.5	0.4	111	1	183.7 (0.72)
2	20	0.74	3	36.0	0.5	140	1	184.0 (0.72)
2	24	0.74	3	43.0	0.6	167	2	184.2 (0.72)
2	30	0.74	3	52.0	0.7	203	2	184.2 (0.72)
2	40	0.74	3	70.5	1.1	275	4	184.4 (0.72)
3	1	0.74	4	4.5	0.1	11	0	244.4 (0.64)
3	2	0.74	4	6.5	0.1	16	0	252.5 (0.66)
3	3	0.74	4	7.0	0.0	18	0	257.7 (0.67)
3	4	0.74	4	7.5	0.1	19	0	262.7 (0.68)
3	5	0.74	4	9.5	0.1	24	0	266.4 (0.69)
3	6	0.74	4	11.5	0.2	29	0	268.4 (0.70)
3	8	0.74	4	15.5	0.2	40	0	271.1 (0.71)
3	10	0.74	4	19.5	0.3	50	0	272.9 (0.71)
3	12	0.74	4	23.0	0.2	59	0	275.1 (0.72)
3	14	0.74	4	25.5	0.3	66	0	275.3 (0.72)
3	16	0.74	4	30.5	0.4	79	0	275.9 (0.72)
3	20	0.74	4	37.5	0.4	97	1	276.1 (0.72)
3	24	0.74	4	44.0	0.4	114	0	276.8 (0.72)
3	30	0.74	4	52.0	0.5	135	1	277.0 (0.72)
3	40	0.74	4	66.0	0.7	171	1	277.2 (0.72)
4	1	0.76	4	5.0	0.0	9	0	313.2 (0.61)
4	2	0.76	4	6.5	0.1	12	0	327.9 (0.64)
4	3	0.76	4	5.5	0.1	10	0	343.7 (0.67)
4	4	0.76	4	7.5	0.1	14	0	350.8 (0.69)
4	5	0.76	4	9.5	0.2	18	0	358.9 (0.70)
4	6	0.76	4	11.5	0.2	22	0	362.5 (0.71)
4	8	0.76	4	15.5	0.2	30	0	367.5 (0.72)
4	10	0.76	4	19.5	0.2	38	0	371.8 (0.73)
4	12	0.76	4	23.0	0.3	44	0	373.8 (0.73)
4	14	0.76	4	25.0	0.4	48	0	376.0 (0.73)
4	16	0.76	4	31.0	0.3	60	0	376.6 (0.74)
4	20	0.76	4	38.5	0.4	75	0	378.0 (0.74)
4	24	0.76	4	46.0	0.5	89	0	378.4 (0.74)
4	30	0.76	4	56.0	0.6	109	1	379.0 (0.74)
4	40	0.76	4	70.0	0.9	136	1	379.4 (0.74)
5	1	0.78	4	5.5	0.0	8	0	398.9 (0.62)
5	2	0.78	4	5.5	0.1	8	0	413.9 (0.65)
5	3	0.78	4	9.5	0.1	14	0	436.8 (0.68)
5	4	0.78	4	7.5	0.1	11	0	445.2 (0.70)
5	5	0.78	4	9.5	0.1	14	0	452.4 (0.71)
5	6	0.78	4	12.0	0.1	18	0	457.2 (0.71)
5	8	0.78	4	15.5	0.2	24	0	464.8 (0.73)
5	10	0.78	4	19.5	0.2	30	0	471.9 (0.74)
5	12	0.78	4	23.0	0.3	35	0	476.2 (0.74)
5	14	0.78	4	27.0	0.5	42	0	479.5 (0.75)
5	16	0.78	4	29.0	0.5	45	0	480.5 (0.75)
5	20	0.78	4	35.0	0.5	54	0	482.3 (0.75)
5	24	0.78	4	42.0	0.6	65	0	484.7 (0.76)
5	30	0.78	4	53.5	0.6	83	0	485.8 (0.76)
5	40	0.78	4	73.5	0.8	114	1	486.4 (0.76)
6	1	0.80	4	6.0	0.0	7	0	493.1 (0.64)
6	2	0.80	4	7.5	0.0	9	0	509.7 (0.66)
6	3	0.80	4	7.5	0.1	9	0	525.6 (0.68)
6	4	0.80	4	11.0	0.1	14	0	541.9 (0.71)
6	5	0.80	4	9.5	0.1	12	0	550.0 (0.72)
6	6	0.80	4	11.5	0.1	14	0	558.3 (0.73)
6	8	0.80	4	15.5	0.2	20	0	566.3 (0.74)
6	10	0.80	4	19.5	0.3	25	0	573.1 (0.75)
6	12	0.80	4	23.0	0.4	29	0	581.3 (0.76)
6	14	0.80	4	27.0	0.4	35	0	586.7 (0.76)
6	16	0.80	4	31.0	0.6	40	0	590.2 (0.77)
6	20	0.80	4	37.0	0.5	48	0	594.2 (0.77)
6	24	0.80	4	44.0	0.7	57	0	596.0 (0.78)
6	30	0.80	4	57.0	0.8	74	1	597.2 (0.78)
6	40	0.80	4	78.0	1.1	101	1	598.8 (0.78)
8	1	0.82	5	9.5	0.0	9	0	671.5 (0.66)
8	2	0.82	5	10.5	0.1	10	0	686.1 (0.67)
8	3	0.82	5	9.5	0.1	9	0	693.7 (0.68)
8	4	0.82	5	14.5	0.1	14	0	707.9 (0.69)
8	5	0.82	5	18.0	0.1	17	0	718.5 (0.70)
8	6	0.82	5	11.5	0.1	11	0	738.0 (0.72)
8	8	0.82	5	17.0	0.2	16	0	741.3 (0.72)
