bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	1	0.50	2	4.5	0.2	70	2	28.5 (0.45)
0.5	1	0.50	3	4.5	0.1	70	1	31.1 (0.49)
0.5	1	0.50	4	4.5	0.2	70	2	31.1 (0.49)
0.5	1	0.50	5	4.5	0.2	70	3	31.2 (0.49)
0.5	1	0.50	6	4.5	0.2	70	2	31.2 (0.49)
0.5	1	0.50	7	4.5	0.1	70	1	31.2 (0.49)
0.5	1	0.50	8	4.5	0.1	70	1	31.2 (0.49)
0.5	1	0.52	2	4.5	0.1	70	1	32.2 (0.50)
0.5	1	0.52	3	4.5	0.1	70	2	32.4 (0.51)
0.5	1	0.52	4	4.5	0.1	70	0	32.4 (0.51)
0.5	1	0.52	5	4.5	0.1	70	1	32.4 (0.51)
0.5	1	0.52	6	4.5	0.1	70	0	32.5 (0.51)
0.5	1	0.52	7	4.5	0.0	70	0	32.4 (0.51)
0.5	1	0.52	8	4.5	0.0	70	0	32.4 (0.51)
0.5	1	0.54	2	4.5	0.2	70	2	33.2 (0.52)
0.5	1	0.54	3	4.5	0.1	70	1	33.6 (0.52)
0.5	1	0.54	4	4.5	0.2	70	2	33.7 (0.53)
0.5	1	0.54	5	4.5	0.1	70	1	33.7 (0.53)
0.5	1	0.54	6	4.5	0.1	70	1	33.7 (0.53)
0.5	1	0.54	7	6.0	0.1	93	1	33.7 (0.53)
0.5	1	0.54	8	6.0	0.0	93	0	33.7 (0.53)
0.5	1	0.56	2	4.5	0.2	70	2	34.3 (0.54)
0.5	1	0.56	3	4.5	0.2	70	3	34.6 (0.54)
0.5	1	0.56	4	4.5	0.1	70	1	34.9 (0.55)
0.5	1	0.56	5	6.0	0.2	93	3	34.9 (0.55)
0.5	1	0.56	6	6.0	0.1	93	1	35.0 (0.55)
0.5	1	0.56	7	7.5	0.1	117	1	35.0 (0.55)
0.5	1	0.56	8	7.5	0.1	117	1	35.0 (0.55)
0.5	1	0.58	2	4.5	0.1	70	1	35.3 (0.55)
0.5	1	0.58	3	4.5	0.2	70	3	35.8 (0.56)
0.5	1	0.58	4	6.0	0.2	93	2	36.2 (0.57)
0.5	1	0.58	5	6.0	0.2	93	2	36.2 (0.57)
0.5	1	0.58	6	7.5	0.2	117	2	36.2 (0.57)
0.5	1	0.58	7	9.0	0.0	140	0	36.1 (0.56)
0.5	1	0.58	8	9.0	0.1	140	1	36.2 (0.57)
0.5	1	0.60	2	4.5	0.2	70	2	36.3 (0.57)
0.5	1	0.60	3	4.5	0.2	70	2	37.0 (0.58)
0.5	1	0.60	4	6.0	0.4	93	6	37.4 (0.59)
0.5	1	0.60	5	7.5	0.2	117	3	37.5 (0.59)
0.5	1	0.60	6	9.0	0.0	140	0	37.5 (0.59)
0.5	1	0.60	7	10.5	0.2	164	2	37.4 (0.58)
0.5	1	0.60	8	12.0	0.0	187	0	37.5 (0.59)
0.5	1	0.62	2	4.5	0.2	70	2	37.3 (0.58)
0.5	1	0.62	3	6.0	0.2	93	2	38.2 (0.60)
0.5	1	0.62	4	7.5	0.1	117	1	38.7 (0.60)
0.5	1	0.62	5	9.0	0.0	140	0	38.7 (0.61)
0.5	1	0.62	6	10.5	0.2	164	3	38.7 (0.61)
0.5	1	0.62	7	12.0	0.2	187	2	38.7 (0.61)
0.5	1	0.62	8	13.5	0.2	210	2	38.7 (0.61)
0.5	1	0.64	2	4.5	0.2	70	3	38.3 (0.60)
