bw	scale	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	0.30	0.50	2	18.0	0.1	281	2	15.7 (0.24)
0.5	0.30	0.50	3	13.8	0.3	215	4	17.0 (0.27)
0.5	0.30	0.50	4	18.2	0.2	285	2	17.4 (0.27)
0.5	0.30	0.50	5	18.2	0.2	285	3	17.4 (0.27)
0.5	0.30	0.50	6	12.2	0.3	190	4	17.7 (0.28)
0.5	0.30	0.50	7	18.2	0.2	284	3	18.0 (0.28)
0.5	0.30	0.50	8	18.2	0.4	284	6	17.9 (0.28)
0.5	0.30	0.52	2	18.2	0.2	284	3	16.6 (0.26)
0.5	0.30	0.52	3	13.7	0.2	214	2	16.6 (0.26)
0.5	0.30	0.52	4	18.2	0.4	284	5	17.5 (0.27)
0.5	0.30	0.52	5	12.2	0.3	190	5	17.8 (0.28)
0.5	0.30	0.52	6	12.2	0.3	190	4	17.8 (0.28)
0.5	0.30	0.52	7	13.7	0.3	214	4	18.0 (0.28)
0.5	0.30	0.52	8	18.2	0.3	284	4	18.1 (0.28)
0.5	0.30	0.54	2	18.2	0.3	284	4	16.6 (0.26)
0.5	0.30	0.54	3	18.2	0.3	284	5	17.2 (0.27)
0.5	0.30	0.54	4	13.7	0.3	214	5	17.6 (0.28)
0.5	0.30	0.54	5	13.7	0.2	214	3	17.9 (0.28)
0.5	0.30	0.54	6	13.7	0.3	214	4	18.1 (0.28)
0.5	0.30	0.54	7	18.2	0.4	284	5	18.2 (0.28)
0.5	0.30	0.54	8	13.3	0.3	207	5	18.1 (0.28)
0.5	0.30	0.56	2	12.2	0.2	190	3	16.8 (0.26)
0.5	0.30	0.56	3	18.2	0.3	284	4	17.3 (0.27)
0.5	0.30	0.56	4	18.2	0.3	284	4	17.7 (0.28)
0.5	0.30	0.56	5	18.2	0.4	284	6	17.8 (0.28)
0.5	0.30	0.56	6	13.7	0.4	214	6	18.0 (0.28)
0.5	0.30	0.56	7	18.2	0.4	284	6	18.2 (0.28)
