bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
---------------------------------------------------------------------------
0.5	1	0.60	9	4.5	0.0	70	0	37.5 (0.59)
0.5	2	0.60	9	5.5	0.0	85	0	37.5 (0.59)
0.5	3	0.60	9	7.5	0.0	117	0	37.5 (0.59)
0.5	4	0.60	9	9.0	0.0	140	0	37.5 (0.59)
0.5	5	0.60	9	11.0	0.1	171	1	37.5 (0.59)
0.5	6	0.60	9	14.0	0.1	218	0	37.5 (0.59)
0.5	8	0.60	9	18.5	0.1	289	2	37.5 (0.59)
0.5	10	0.60	9	23.5	0.2	367	2	37.5 (0.59)
0.5	12	0.60	9	28.5	0.2	445	3	37.5 (0.59)
0.5	14	0.60	9	31.5	0.3	492	4	37.5 (0.59)
0.5	16	0.60	9	31.5	0.3	492	5	37.5 (0.59)
0.5	20	0.60	9	31.5	0.4	492	5	37.5 (0.59)
0.5	24	0.60	9	31.5	0.4	492	6	37.5 (0.59)
0.5	30	0.60	9	31.5	0.6	492	9	37.5 (0.59)
0.5	40	0.60	9	31.5	0.8	492	11	37.5 (0.59)
1	1	0.72	9	9.5	0.1	74	0	89.9 (0.70)
1	2	0.72	9	9.5	0.0	74	0	90.0 (0.70)
1	3	0.72	9	11.5	0.2	89	1	90.0 (0.70)
1	4	0.72	9	13.5	0.1	105	0	90.0 (0.70)
1	5	0.72	9	15.5	0.1	121	0	90.0 (0.70)
1	6	0.72	9	17.5	0.1	136	1	90.0 (0.70)
1	8	0.72	9	21.5	0.2	167	1	90.0 (0.70)
1	10	0.72	9	26.0	0.2	203	1	90.0 (0.70)
1	12	0.72	9	32.0	0.3	250	1	90.0 (0.70)
1	14	0.72	9	37.0	0.3	289	2	90.0 (0.70)
1	16	0.72	9	42.0	0.5	328	4	90.0 (0.70)
1	20	0.72	9	52.0	0.9	406	7	90.0 (0.70)
1	24	0.72	9	62.0	1.0	484	7	90.0 (0.70)
1	30	0.72	9	62.5	1.6	488	12	90.0 (0.70)
1	40	0.72	9	62.5	2.2	488	16	90.0 (0.70)
2	1	0.74	9	11.5	0.1	44	0	183.7 (0.72)
2	2	0.74	9	12.5	0.1	48	0	184.8 (0.72)
2	3	0.74	9	12.0	0.0	46	0	184.9 (0.72)
2	4	0.74	9	13.5	0.1	52	0	184.9 (0.72)
2	5	0.74	9	14.5	0.3	56	1	184.9 (0.72)
2	6	0.74	9	17.5	0.4	68	1	184.9 (0.72)
2	8	0.74	9	21.5	0.5	83	1	184.9 (0.72)
2	10	0.74	9	27.0	0.5	105	2	184.9 (0.72)
2	12	0.74	9	32.5	0.5	126	1	184.9 (0.72)
2	14	0.74	9	37.5	0.6	146	2	185.0 (0.72)
2	16	0.74	9	42.5	0.6	166	2	185.0 (0.72)
2	20	0.74	9	51.5	0.9	201	3	184.9 (0.72)
2	24	0.74	9	62.0	0.8	242	3	185.0 (0.72)
2	30	0.74	9	78.5	1.2	306	4	185.0 (0.72)
2	40	0.74	9	98.0	1.7	382	6	185.0 (0.72)
3	1	0.74	12	17.0	0.0	44	0	275.1 (0.72)
3	2	0.74	12	17.0	0.1	44	0	276.7 (0.72)
3	3	0.74	12	17.0	0.1	44	0	277.4 (0.72)
3	4	0.74	12	17.0	0.1	44	0	276.7 (0.72)
3	5	0.74	12	16.0	0.0	41	0	277.4 (0.72)
3	6	0.74	12	17.5	0.2	45	0	277.4 (0.72)
3	8	0.74	12	21.5	0.2	55	0	277.4 (0.72)
3	10	0.74	12	25.5	0.1	66	0	277.4 (0.72)
3	12	0.74	12	31.0	0.2	80	0	277.4 (0.72)
3	14	0.74	12	36.0	0.2	93	0	277.4 (0.72)
3	16	0.74	12	41.0	0.2	106	0	277.4 (0.72)
3	20	0.74	12	50.0	0.2	130	0	277.4 (0.72)
3	24	0.74	12	58.0	0.4	151	0	277.4 (0.72)
3	30	0.74	12	70.0	0.4	182	0	277.4 (0.72)
3	40	0.74	12	94.0	0.7	244	1	277.4 (0.72)
4	1	0.76	12	20.0	0.0	39	0	364.6 (0.71)
4	2	0.76	12	20.0	0.1	39	0	366.7 (0.72)
4	3	0.76	12	17.0	0.1	33	0	374.5 (0.73)
4	4	0.76	12	20.5	0.1	40	0	376.4 (0.74)
4	5	0.76	12	21.5	0.1	41	0	378.7 (0.74)
4	6	0.76	12	17.0	0.2	33	0	379.3 (0.74)
4	8	0.76	12	22.5	0.2	43	0	379.5 (0.74)
4	10	0.76	12	26.5	0.2	51	0	379.8 (0.74)
4	12	0.76	12	30.5	0.4	59	0	379.9 (0.74)
4	14	0.76	12	36.0	0.2	70	0	379.9 (0.74)
4	16	0.76	12	41.5	0.4	81	0	379.9 (0.74)
4	20	0.76	12	52.5	0.5	102	0	379.9 (0.74)
4	24	0.76	12	60.5	0.5	118	0	379.9 (0.74)
4	30	0.76	12	72.5	0.5	141	0	379.9 (0.74)
4	40	0.76	12	97.5	1.0	190	1	379.9 (0.74)
5	1	0.78	12	19.5	0.0	30	0	460.8 (0.72)
5	2	0.78	12	19.5	0.0	30	0	464.1 (0.73)
5	3	0.78	12	26.0	0.1	40	0	474.9 (0.74)
5	4	0.78	12	19.5	0.1	30	0	477.7 (0.75)
5	5	0.78	12	23.5	0.1	36	0	480.7 (0.75)
5	6	0.78	12	26.0	0.1	40	0	482.8 (0.75)
5	8	0.78	12	20.5	0.2	32	0	485.7 (0.76)
5	10	0.78	12	24.5	0.3	38	0	485.9 (0.76)
5	12	0.78	12	28.5	0.4	44	0	486.8 (0.76)
5	14	0.78	12	34.0	0.4	53	0	487.3 (0.76)
5	16	0.78	12	38.0	0.5	59	0	487.3 (0.76)
5	20	0.78	12	47.0	0.5	73	0	487.4 (0.76)
5	24	0.78	12	58.5	0.6	91	0	487.4 (0.76)
5	30	0.78	12	73.0	0.6	114	1	487.4 (0.76)
5	40	0.78	12	97.0	0.6	151	0	487.4 (0.76)
6	1	0.80	12	26.0	0.0	33	0	559.4 (0.73)
6	2	0.80	12	26.0	0.0	33	0	566.7 (0.74)
6	3	0.80	12	27.5	0.1	35	0	580.0 (0.76)
6	4	0.80	12	26.0	0.1	33	0	580.5 (0.76)
6	5	0.80	12	25.0	0.1	32	0	585.4 (0.76)
6	6	0.80	12	27.5	0.2	35	0	587.9 (0.77)
6	8	0.80	12	27.0	0.2	35	0	594.8 (0.77)
6	10	0.80	12	23.5	0.3	30	0	592.9 (0.77)
6	12	0.80	12	27.5	0.5	35	0	597.4 (0.78)
6	14	0.80	12	31.5	0.6	41	0	599.1 (0.78)
6	16	0.80	12	36.5	0.7	47	0	599.5 (0.78)
6	20	0.80	12	48.0	0.7	62	0	599.8 (0.78)
6	24	0.80	12	59.0	0.8	76	1	599.8 (0.78)
6	30	0.80	12	74.0	1.0	96	1	599.8 (0.78)
6	40	0.80	12	100.0	1.1	130	1	599.8 (0.78)
8	1	0.82	15	39.5	0.0	38	0	759.6 (0.74)
